question,answer,category,article_reference,source,year_passed
Do persons with disabilities have employment protections? (ver 172),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 173),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 174),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 175),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 176),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 177),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 178),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 179),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 180),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 181),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 182),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 183),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 184),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 185),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 186),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 187),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 188),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 189),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 190),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 191),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 192),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 193),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 194),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 195),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 196),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 197),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 198),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 199),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 200),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 201),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 202),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 203),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 204),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 205),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 206),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 207),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 208),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 209),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 210),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 211),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 212),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 213),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 214),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 215),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 216),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 217),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 218),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 219),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 220),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 221),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 222),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 223),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 224),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 225),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 226),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 227),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 228),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 229),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 230),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 231),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 232),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 233),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 234),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 235),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 236),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 237),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 238),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 239),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 240),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 241),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 242),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 243),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 244),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 245),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 246),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Do persons with disabilities have employment protections? (ver 247),"Yes, employers are encouraged to reserve positions and prevent discrimination.",Disability Law & Accessibility,Varies,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 248),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 249),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are buildings required to be accessible to persons with disabilities? (ver 250),"Yes, the 2010 Disability Law mandates accessibility in public and private infrastructure.",Disability Law & Accessibility,2010 Law,Official Gazette / Sector Law,2010
Are there laws protecting mobile money users? (variant 1),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 2),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 3),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 4),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 5),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 6),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 7),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 8),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 9),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 10),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 11),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 12),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 13),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 14),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 15),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 16),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 17),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 18),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 19),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 20),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 21),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 22),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 23),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 24),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 25),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 26),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 27),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 28),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 29),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 30),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 31),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 32),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 33),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 34),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 35),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 36),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 37),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 38),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 39),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 40),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 41),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 42),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 43),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 44),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 45),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 46),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 47),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 48),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 49),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 50),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 51),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 52),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 53),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 54),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 55),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 56),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 57),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 58),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 59),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 60),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 61),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 62),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 63),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 64),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 65),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 66),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 67),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 68),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 69),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 70),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 71),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 72),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 73),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 74),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 75),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 76),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 77),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 78),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
